instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a
cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm,20260414,30,50,FCP-pruned-MB,10.811153446972309,5.938271908671677,38.096611976623535,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.5_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm__fcp_pruned_mb.json,0.0889890193939209,0.00013589859008789062,51,4.7497451305389404e-08,1073741824,50,50,0.5,1.2847523309082207,1.0912596255836553
cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm,20260414,30,50,BSP,8.414970875615893,7.0098224328159935,302.54391384124756,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.5_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm__bsp.json,,,,,1073741824,,,,1.0,0.8493929914197695
cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm,20260414,30,50,CPBSD-A,9.907040628567206,8.6842150770154,600.5368411540985,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.5_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm__cpbsd_a.json,,,,,1073741824,,,,1.1773113389227396,1.0
