instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a
cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,20260321,10,50,FCP-pruned-MB,3.5618720363522725,2.399032113204915,90.2009482383728,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_fcp_pruned_mb_compare_n10k50_strict300/results/cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm__fcp_pruned_mb.json,0.4439709186553955,0.00010776519775390625,37,0.0361328125,1024,50,37,0.5,1.1614532889983753,1.0369895518523113
cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,20260321,10,50,BSP,3.0667372248986373,2.450535756954927,3.696743965148926,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_fcp_pruned_mb_compare_n10k50_strict300/results/cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm__bsp.json,,,,,1024,,,,1.0,0.8928379313012234
cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,20260321,10,50,CPBSD-A,3.434819598702723,2.859286312485357,300.0995728969574,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_fcp_pruned_mb_compare_n10k50_strict300/results/cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm__cpbsd_a.json,,,,,1024,,,,1.120024099494293,1.0
