instance_id,dist_family,rho,heterogeneity,cost_scenario,seed,status,revenue_in_sample,revenue_out_sample,ratio_out_in,drop
cpbsd_instance_001_N5_K50_logit_rho-0.5_none_hvhm,logit,-0.5,none,hvhm,20288306,OK,0.8210095535082428,0.4871394773306963,0.593342032682943,0.40665796731705695
cpbsd_instance_001_N5_K50_logit_rho-0.5_none_hvlm,logit,-0.5,none,hvlm,20289306,OK,1.2441117728128783,1.0660911582645292,0.8569094687161002,0.1430905312838998
cpbsd_instance_001_N5_K50_logit_rho-0.5_none_zero,logit,-0.5,none,zero,20287306,OK,4.241149116126761,3.902628280759361,0.9201818124997796,0.0798181875002204
cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_hvhm,logit,-0.5,partial,hvhm,20291306,OK,1.6993734661090603,1.4082846046310158,0.8287081284465793,0.17129187155342074
cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_hvlm,logit,-0.5,partial,hvlm,20292306,OK,1.9676090655095377,1.6381151580705724,0.8325409690295167,0.1674590309704833
cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_zero,logit,-0.5,partial,zero,20290306,OK,16.252497178461304,14.963955322166496,0.9207173001080441,0.07928269989195591
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,logit,0.0,full,hvhm,20303306,OK,1.3126834610668867,1.1371825306743226,0.8663036934662639,0.1336963065337361
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvlm,logit,0.0,full,hvlm,20304306,OK,1.1659441843414835,0.9284528372129763,0.7963098488606978,0.20369015113930222
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,logit,0.0,full,zero,20302306,OK,26.446162952203327,25.148444305076303,0.9509297946370362,0.049070205362963804
cpbsd_instance_001_N5_K50_logit_rho0.0_none_hvhm,logit,0.0,none,hvhm,20297306,OK,0.7386155513112491,0.5074832791757552,0.6870736451118995,0.3129263548881005
cpbsd_instance_001_N5_K50_logit_rho0.0_none_hvlm,logit,0.0,none,hvlm,20298306,OK,1.0455661081468288,0.9200934604008347,0.8799954907027514,0.1200045092972486
cpbsd_instance_001_N5_K50_logit_rho0.0_none_zero,logit,0.0,none,zero,20296306,OK,4.016373752387942,3.381268027271105,0.8418708605644,0.15812913943560003
