instance_id,dist_family,rho,heterogeneity,cost_scenario,seed,status,revenue_in_sample,revenue_out_sample,ratio_out_in,drop
cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_hvlm,logit,-0.5,partial,hvlm,20292306,OK,1.9676090655095377,1.6381151580705724,0.8325409690295167,0.1674590309704833
cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_zero,logit,-0.5,partial,zero,20290306,OK,16.252497178461304,14.963955322166496,0.9207173001080441,0.07928269989195591
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,logit,0.0,full,hvhm,20303306,OK,1.3126834610668867,1.1371825306743226,0.8663036934662639,0.1336963065337361
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvlm,logit,0.0,full,hvlm,20304306,OK,1.1584049532674774,0.931110589323318,0.8037867817268589,0.1962132182731411
cpbsd_instance_001_N5_K50_logit_rho0.0_full_zero,logit,0.0,full,zero,20302306,OK,26.446162952203327,25.148444305076303,0.9509297946370362,0.049070205362963804
cpbsd_instance_001_N5_K50_logit_rho0.0_none_hvhm,logit,0.0,none,hvhm,20297306,OK,0.7311616144171132,0.5149653444158079,0.7043112415390428,0.2956887584609572
cpbsd_instance_001_N5_K50_logit_rho0.0_none_hvlm,logit,0.0,none,hvlm,20298306,OK,0.9926951930966186,0.9244064055908678,0.9312087053703461,0.06879129462965394
cpbsd_instance_001_N5_K50_logit_rho0.0_none_zero,logit,0.0,none,zero,20296306,OK,4.016373752387942,3.381268027271105,0.8418708605644,0.15812913943560003
cpbsd_instance_001_N5_K50_logit_rho0.0_partial_hvhm,logit,0.0,partial,hvhm,20300306,OK,1.317386780661802,1.262022913536345,0.9579744780058864,0.04202552199411358
cpbsd_instance_001_N5_K50_logit_rho0.0_partial_hvlm,logit,0.0,partial,hvlm,20301306,OK,1.8311520186848282,1.5792140179077765,0.8624155732531705,0.13758442674682947
cpbsd_instance_001_N5_K50_logit_rho0.0_partial_zero,logit,0.0,partial,zero,20299306,OK,15.568645827313327,13.809462075699063,0.8870047034837168,0.11299529651628315
cpbsd_instance_001_N5_K50_logit_rho0.5_full_hvhm,logit,0.5,full,hvhm,20312306,OK,1.120934620122628,0.9581901588212363,0.854813600740079,0.14518639925992105
cpbsd_instance_001_N5_K50_logit_rho0.5_full_hvlm,logit,0.5,full,hvlm,20313306,OK,1.021186573400424,0.8126553005083902,0.7957951286045108,0.20420487139548915
cpbsd_instance_001_N5_K50_logit_rho0.5_full_zero,logit,0.5,full,zero,20311306,OK,25.781870446000198,24.84107156596242,0.9635092852549907,0.03649071474500931
cpbsd_instance_001_N5_K50_logit_rho0.5_none_hvhm,logit,0.5,none,hvhm,20306306,OK,0.5735405539709589,0.4799339843048323,0.8367917159161052,0.16320828408389476
cpbsd_instance_001_N5_K50_logit_rho0.5_none_hvlm,logit,0.5,none,hvlm,20307306,OK,0.9807280401679699,0.855094693839506,0.8718978746575385,0.12810212534246146
cpbsd_instance_001_N5_K50_logit_rho0.5_none_zero,logit,0.5,none,zero,20305306,OK,3.516786747717579,3.278447618768175,0.9322281542649442,0.06777184573505579
cpbsd_instance_001_N5_K50_logit_rho0.5_partial_hvhm,logit,0.5,partial,hvhm,20309306,OK,1.3825951036381705,1.063435181676415,0.7691587934009633,0.23084120659903673
cpbsd_instance_001_N5_K50_logit_rho0.5_partial_hvlm,logit,0.5,partial,hvlm,20310306,OK,1.567258932404354,1.2596222063499194,0.8037103380342616,0.19628966196573838
cpbsd_instance_001_N5_K50_logit_rho0.5_partial_zero,logit,0.5,partial,zero,20308306,OK,15.20295190609621,14.48052889847752,0.9524813988703729,0.047518601129627136
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_hvhm,lognormal,-0.5,full,hvhm,20321306,OK,3.3105093184314898,2.294822466115154,0.6931931752430271,0.30680682475697285
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_hvlm,lognormal,-0.5,full,hvlm,20322306,OK,3.3605915557995103,2.3661484706862486,0.704086894047832,0.295913105952168
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_full_zero,lognormal,-0.5,full,zero,20320306,OK,19.63127831047725,18.11654013798267,0.9228405736733832,0.07715942632661676
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_hvhm,lognormal,-0.5,none,hvhm,20315306,OK,0.7946956616847679,0.6038462666703174,0.7598459332093915,0.24015406679060847
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_hvlm,lognormal,-0.5,none,hvlm,20316306,OK,1.1920580569607038,0.8995395856999312,0.7546105497524308,0.2453894502475692
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_none_zero,lognormal,-0.5,none,zero,20314306,OK,3.8384601326030743,3.371094912901552,0.8782414813347101,0.12175851866528986
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_hvhm,lognormal,-0.5,partial,hvhm,20318306,OK,2.3181563225379533,1.7018411745633975,0.734135639610445,0.26586436038955497
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_hvlm,lognormal,-0.5,partial,hvlm,20319306,OK,2.5944530208384773,1.9492058474490002,0.7512974148281376,0.2487025851718624
cpbsd_instance_001_N5_K50_lognormal_rho-0.5_partial_zero,lognormal,-0.5,partial,zero,20317306,OK,11.741566447373105,11.101833991598122,0.9455155784671212,0.0544844215328788
cpbsd_instance_001_N5_K50_lognormal_rho0.0_full_hvhm,lognormal,0.0,full,hvhm,20330306,OK,4.208588607571196,2.1616906416555626,0.5136379064864428,0.4863620935135572
cpbsd_instance_001_N5_K50_lognormal_rho0.0_full_hvlm,lognormal,0.0,full,hvlm,20331306,OK,3.853848970537033,2.1499496317049016,0.5578707541840454,0.4421292458159546
cpbsd_instance_001_N5_K50_lognormal_rho0.0_full_zero,lognormal,0.0,full,zero,20329306,OK,16.867167189952614,16.417356271249986,0.9733321598323534,0.02666784016764656
cpbsd_instance_001_N5_K50_lognormal_rho0.0_none_hvhm,lognormal,0.0,none,hvhm,20324306,OK,0.9169281628452757,0.5985525770156641,0.6527802299782399,0.3472197700217601
cpbsd_instance_001_N5_K50_lognormal_rho0.0_none_hvlm,lognormal,0.0,none,hvlm,20325306,OK,1.1331183574565076,0.863982397149829,0.7624820403485443,0.23751795965145572
cpbsd_instance_001_N5_K50_lognormal_rho0.0_none_zero,lognormal,0.0,none,zero,20323306,OK,3.4682207631706308,3.081731632969181,0.8885627079147859,0.11143729208521413
cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_hvhm,lognormal,0.0,partial,hvhm,20327306,OK,2.5898822437448272,1.6539773968750502,0.6386303473332787,0.3613696526667213
cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_hvlm,lognormal,0.0,partial,hvlm,20328306,OK,2.718923923399936,1.7930776818824747,0.6594806373398939,0.3405193626601061
cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_zero,lognormal,0.0,partial,zero,20326306,OK,11.380434033335332,10.153426539609095,0.8921827155157604,0.10781728448423955
cpbsd_instance_001_N5_K50_lognormal_rho0.5_full_hvhm,lognormal,0.5,full,hvhm,20339306,OK,3.2849758185591407,2.2039231454852257,0.6709100058008685,0.32908999419913154
cpbsd_instance_001_N5_K50_lognormal_rho0.5_full_hvlm,lognormal,0.5,full,hvlm,20340306,OK,3.4682444207131384,1.971128782980314,0.5683361793097073,0.43166382069029274
cpbsd_instance_001_N5_K50_lognormal_rho0.5_full_zero,lognormal,0.5,full,zero,20338306,OK,18.394547376995195,13.909059781035682,0.756151238514887,0.24384876148511303
cpbsd_instance_001_N5_K50_lognormal_rho0.5_none_hvhm,lognormal,0.5,none,hvhm,20333306,OK,0.8200747878038892,0.5466049213108553,0.6665305767716994,0.33346942322830064
cpbsd_instance_001_N5_K50_lognormal_rho0.5_none_hvlm,lognormal,0.5,none,hvlm,20334306,OK,1.0290211619342902,0.7789168317150025,0.7569492839688962,0.24305071603110384
cpbsd_instance_001_N5_K50_lognormal_rho0.5_none_zero,lognormal,0.5,none,zero,20332306,OK,3.263172067720809,2.71639194087957,0.8324390759990961,0.16756092400090394
cpbsd_instance_001_N5_K50_lognormal_rho0.5_partial_hvhm,lognormal,0.5,partial,hvhm,20336306,OK,2.3618879930612655,1.4545012321872084,0.615821426104976,0.38417857389502397
cpbsd_instance_001_N5_K50_lognormal_rho0.5_partial_hvlm,lognormal,0.5,partial,hvlm,20337306,OK,2.326835840636369,1.8677214411927228,0.8026872410053292,0.19731275899467082
cpbsd_instance_001_N5_K50_lognormal_rho0.5_partial_zero,lognormal,0.5,partial,zero,20335306,OK,10.40069532207648,8.099687810341015,0.7787640690857125,0.2212359309142875
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_hvhm,normal,-0.5,full,hvhm,20348306,OK,1.705163192486697,1.406018373669323,0.8245652849325694,0.17543471506743058
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_hvlm,normal,-0.5,full,hvlm,20349306,OK,1.2658235243534859,1.0549214751033482,0.8333874784339665,0.16661252156603346
cpbsd_instance_001_N5_K50_normal_rho-0.5_full_zero,normal,-0.5,full,zero,20347306,OK,26.35833324920398,24.0186778399881,0.9112365950041041,0.08876340499589586
cpbsd_instance_001_N5_K50_normal_rho-0.5_none_hvhm,normal,-0.5,none,hvhm,20342306,OK,1.0600507946201279,0.8045919451525702,0.7590126333907404,0.24098736660925957
cpbsd_instance_001_N5_K50_normal_rho-0.5_none_hvlm,normal,-0.5,none,hvlm,20343306,OK,1.2270275648023323,1.0696372059029704,0.8717303804623846,0.1282696195376154
cpbsd_instance_001_N5_K50_normal_rho-0.5_none_zero,normal,-0.5,none,zero,20341306,OK,3.972657855125847,3.50284517459301,0.8817384487499607,0.11826155125003934
cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_hvhm,normal,-0.5,partial,hvhm,20345306,OK,1.708932794686815,1.5428458039160644,0.9028124503859216,0.09718754961407838
cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_hvlm,normal,-0.5,partial,hvlm,20346306,OK,1.920194299836379,1.7115874470345585,0.8913615914704068,0.10863840852959317
cpbsd_instance_001_N5_K50_normal_rho-0.5_partial_zero,normal,-0.5,partial,zero,20344306,OK,15.686239750099658,14.093417698574552,0.8984573692037962,0.10154263079620385
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvhm,normal,0.0,full,hvhm,20357306,OK,1.5944861113236926,1.1812603222001206,0.7408407723410492,0.25915922765895083
cpbsd_instance_001_N5_K50_normal_rho0.0_full_hvlm,normal,0.0,full,hvlm,20358306,OK,1.1377638580746572,0.9616945538235464,0.8452496948276612,0.1547503051723388
cpbsd_instance_001_N5_K50_normal_rho0.0_full_zero,normal,0.0,full,zero,20356306,OK,25.658890004922895,23.624837557306748,0.9207271847213229,0.07927281527867713
cpbsd_instance_001_N5_K50_normal_rho0.0_none_hvhm,normal,0.0,none,hvhm,20351306,OK,1.2253978361642737,0.6822530276776484,0.5567604312189983,0.4432395687810017
cpbsd_instance_001_N5_K50_normal_rho0.0_none_hvlm,normal,0.0,none,hvlm,20352306,OK,1.3009568215961218,0.9191965132826554,0.7065542053539554,0.2934457946460446
cpbsd_instance_001_N5_K50_normal_rho0.0_none_zero,normal,0.0,none,zero,20350306,OK,3.5775059854027966,3.0844433675299956,0.8621769970799122,0.13782300292008776
cpbsd_instance_001_N5_K50_normal_rho0.0_partial_hvhm,normal,0.0,partial,hvhm,20354306,OK,1.892720802166603,1.27555897491544,0.673928755606904,0.326071244393096
cpbsd_instance_001_N5_K50_normal_rho0.0_partial_hvlm,normal,0.0,partial,hvlm,20355306,OK,1.8998898592063709,1.485853335807027,0.7820734073646265,0.2179265926353735
cpbsd_instance_001_N5_K50_normal_rho0.0_partial_zero,normal,0.0,partial,zero,20353306,OK,15.413719142366006,13.9575049917873,0.9055248031232015,0.0944751968767985
cpbsd_instance_001_N5_K50_normal_rho0.5_full_hvhm,normal,0.5,full,hvhm,20366306,OK,1.3611297921748535,1.1290357734863907,0.8294842857582184,0.17051571424178158
cpbsd_instance_001_N5_K50_normal_rho0.5_full_hvlm,normal,0.5,full,hvlm,20367306,OK,1.2696186112971422,0.8533590925606631,0.6721381405151303,0.3278618594848697
cpbsd_instance_001_N5_K50_normal_rho0.5_full_zero,normal,0.5,full,zero,20365306,OK,24.905171586461314,21.95354640331258,0.8814854508068009,0.11851454919319915
cpbsd_instance_001_N5_K50_normal_rho0.5_none_hvhm,normal,0.5,none,hvhm,20360306,OK,0.9968149345107992,0.672046503683068,0.6741938552645022,0.32580614473549785
cpbsd_instance_001_N5_K50_normal_rho0.5_none_hvlm,normal,0.5,none,hvlm,20361306,OK,1.178680247377074,0.7880885388765294,0.6686194501267572,0.33138054987324284
cpbsd_instance_001_N5_K50_normal_rho0.5_none_zero,normal,0.5,none,zero,20359306,OK,3.154938012944586,2.863402148816255,0.9075937901371848,0.09240620986281523
cpbsd_instance_001_N5_K50_normal_rho0.5_partial_hvhm,normal,0.5,partial,hvhm,20363306,OK,1.8400171831099061,1.1922015709719676,0.6479295856123296,0.3520704143876704
cpbsd_instance_001_N5_K50_normal_rho0.5_partial_hvlm,normal,0.5,partial,hvlm,20364306,OK,1.679989338722906,1.3625783199759334,0.8110636708038504,0.18893632919614956
cpbsd_instance_001_N5_K50_normal_rho0.5_partial_zero,normal,0.5,partial,zero,20362306,OK,14.450688539990518,13.056712621932443,0.9035356748434223,0.09646432515657766
cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_hvhm,uniform,-0.5,full,hvhm,20375306,OK,1.841300025682301,1.3495700793164718,0.7329441484238199,0.26705585157618006
cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_hvlm,uniform,-0.5,full,hvlm,20376306,OK,1.3365762099866114,1.075807989559544,0.8048983526126957,0.1951016473873043
cpbsd_instance_001_N5_K50_uniform_rho-0.5_full_zero,uniform,-0.5,full,zero,20374306,OK,25.900730397873755,23.90895544813781,0.9230996609308186,0.07690033906918137
cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_hvhm,uniform,-0.5,none,hvhm,20369306,OK,1.3824781752128974,0.9706835474949088,0.7021329992029903,0.2978670007970097
cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_hvlm,uniform,-0.5,none,hvlm,20370306,OK,1.3546732268749924,1.1793649708318794,0.8705900046112817,0.12940999538871834
cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_zero,uniform,-0.5,none,zero,20368306,OK,3.9870250987741773,3.3636262968926407,0.8436431207635983,0.15635687923640174
cpbsd_instance_001_N5_K50_uniform_rho-0.5_partial_hvhm,uniform,-0.5,partial,hvhm,20372306,OK,1.8896078520355317,1.487380337960761,0.7871370434656686,0.2128629565343314
cpbsd_instance_001_N5_K50_uniform_rho-0.5_partial_hvlm,uniform,-0.5,partial,hvlm,20373306,OK,2.1967036492639833,1.638143245679022,0.745727921118486,0.25427207888151404
cpbsd_instance_001_N5_K50_uniform_rho-0.5_partial_zero,uniform,-0.5,partial,zero,20371306,OK,15.105610760102469,13.317903787099153,0.8816527844259646,0.11834721557403538
cpbsd_instance_001_N5_K50_uniform_rho0.0_full_hvhm,uniform,0.0,full,hvhm,20384306,OK,2.156700966826732,1.2194176408577735,0.5654087699751752,0.4345912300248248
