instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a
cpbsd_instance_001_N10_K50_normal_rho0.5_full_hvhm,20260414,10,50,FCP-pruned-MB,3.229598180748731,1.8373028579423838,174.80151772499084,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n10/normal_rho0.5_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N10_K50_normal_rho0.5_full_hvhm__fcp_pruned_mb.json,0.11532902717590332,8.225440979003906e-05,25,0.0244140625,1024,50,25,0.5,1.139161894288525,1.1311760425621629
cpbsd_instance_001_N10_K50_normal_rho0.5_full_hvhm,20260414,10,50,BSP,2.8350651447710233,1.9410677580626288,4.5874340534210205,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n10/normal_rho0.5_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N10_K50_normal_rho0.5_full_hvhm__bsp.json,,,,,1024,,,,1.0,0.9929897130808173
cpbsd_instance_001_N10_K50_normal_rho0.5_full_hvhm,20260414,10,50,CPBSD-A,2.8550800752759495,2.022270753526686,300.19731879234314,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n10/normal_rho0.5_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N10_K50_normal_rho0.5_full_hvhm__cpbsd_a.json,,,,,1024,,,,1.0070597779884676,1.0
