instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a
cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm,20260413,30,50,FCP-pruned-MB,11.210133854785346,5.776707709313608,3.64080810546875,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm__fcp_pruned_mb.json,0.12592267990112305,0.00013518333435058594,51,4.7497451305389404e-08,1073741824,50,50,0.5,1.245432575134422,1.0861540867280206
cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm,20260413,30,50,BSP,9.000996182852704,8.210544278401665,65.00890898704529,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm__bsp.json,,,,,1073741824,,,,1.0,0.8721099065606099
cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm,20260413,30,50,CPBSD-A,10.320942481149482,10.01722121498323,600.446760892868,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_normal_rho0.0_full_hvhm__cpbsd_a.json,,,,,1073741824,,,,1.146644468176904,1.0
