instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260414,5,50,FCP-pruned-MB,1.2906379764736997,1.1178345457105174,10.60642385482788,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.06686282157897949,8.225440979003906e-05,13,0.40625,32,50,13,0.5,1.1115334051334296,1.0627804160754988
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260414,5,50,BSP,1.1611328733019681,1.132910295124393,4.764526128768921,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__bsp.json,,,,,32,,,,1.0,0.9561389798698146
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260414,5,50,CPBSD-A,1.2143975904633288,1.155761671458129,29.207154989242554,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260414/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__cpbsd_a.json,,,,,32,,,,1.0458730593079235,1.0
