instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260413,5,50,FCP-pruned-MB,1.2480670903811186,0.94332797146112,22.616901874542236,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__fcp_pruned_mb.json,0.0668637752532959,8.320808410644531e-05,12,0.375,32,50,12,0.5,1.0013145646518335,1.0118497409348945
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260413,5,50,BSP,1.2464285794295655,1.0897499155167814,2.5948569774627686,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__bsp.json,,,,,32,,,,1.0,1.0105213452944473
cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm,20260413,5,50,CPBSD-A,1.2334510153928309,1.1351833424129842,27.35342788696289,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_shortlist_n5_5inst/logit_rho0.0_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N5_K50_logit_rho0.0_full_hvhm__cpbsd_a.json,,,,,32,,,,0.989588200839655,1.0
