variant_key,variant_name,instances,mean_revenue_in_sample,mean_revenue_out_sample,mean_delta_in_vs_current,mean_delta_out_vs_current,mean_price_l1_vs_current,mean_price_linf_vs_current,optimal_count,time_limit_count
current,Current solver,5,5.5675808167866645,4.702706475927094,0.0,0.0,0.0,0.0,0,5
outside_only,Paper outside option,5,5.559900820385428,4.600242997915759,-0.007679996401237244,-0.10246347801133653,119.26665077957509,15.727773480703144,0,5
envy_only,Paper envy indexing,5,5.553898658054897,4.617449272336189,-0.013682158731767568,-0.08525720359090574,128.43310769331205,18.17814943604614,0,5
subadd_only,Full partition subadditivity,5,5.561997731494172,4.736298288873152,-0.005583085292492429,0.03359181294605702,77.45905879175561,15.548739248823916,0,5
all_paper_switches,All Appendix C switches,5,5.561997731494117,4.623888191062077,-0.005583085292548385,-0.07881828486501688,118.82123999457262,19.12385594533273,0,5
