bundle_id,bundle_binary,bundle_size,selected_segment_count,selected_customer_weight,avg_price,instance_count,customer_share,cumulative_customer_share
747,1011101011,7,4,0.002904,2.200583,4,0.002904,0.583353
239,0011101111,7,3,0.002883,2.174798,3,0.002883,0.586236
801,1100100001,4,2,0.002875,1.503260,2,0.002875,0.589111
763,1011111011,8,4,0.002845,2.237645,4,0.002845,0.591956
234,0011101010,5,2,0.002832,1.745317,2,0.002832,0.594788
253,0011111101,7,3,0.002812,2.092695,3,0.002812,0.597600
989,1111011101,8,3,0.002805,2.210135,3,0.002805,0.600405
885,1101110101,7,2,0.002797,2.068495,2,0.002797,0.603202
873,1101101001,6,2,0.002768,1.825583,2,0.002768,0.605970
1001,1111101001,7,2,0.002764,2.160821,2,0.002764,0.608734
884,1101110100,6,4,0.002746,1.864474,4,0.002746,0.611480
637,1001111101,7,3,0.002727,2.003983,3,0.002727,0.614207
749,1011101101,7,2,0.002722,2.090193,2,0.002722,0.616929
950,1110110110,7,3,0.002722,2.065207,3,0.002722,0.619651
123,0001111011,6,2,0.002712,1.910511,2,0.002712,0.622363
890,1101111010,7,4,0.002687,2.056325,4,0.002687,0.625049
415,0110011111,7,2,0.002649,2.188915,2,0.002649,0.627699
756,1011110100,6,1,0.002643,1.883081,1,0.002643,0.630342
45,0000101101,4,2,0.002638,1.585013,2,0.002638,0.632980
493,0111101101,7,2,0.002634,2.037360,2,0.002634,0.635614
733,1011011101,7,2,0.002632,2.103012,2,0.002632,0.638246
471,0111010111,7,3,0.002583,2.044269,3,0.002583,0.640829
218,0011011010,5,2,0.002558,1.760824,2,0.002558,0.643387
83,0001010011,4,2,0.002555,1.679912,2,0.002555,0.645942
883,1101110011,7,2,0.002527,2.072499,2,0.002527,0.648469
374,0101110110,6,2,0.002526,1.941355,2,0.002526,0.650995
213,0011010101,5,2,0.002432,1.737925,2,0.002432,0.653427
439,0110110111,7,3,0.002423,2.016711,3,0.002423,0.655850
357,0101100101,5,2,0.002407,1.793492,2,0.002407,0.658257
966,1111000110,6,2,0.002394,1.819192,1,0.002394,0.660651
988,1111011100,7,2,0.002377,2.045364,2,0.002377,0.663027
404,0110010100,4,2,0.002374,1.512877,2,0.002374,0.665401
431,0110101111,7,2,0.002345,2.187947,2,0.002345,0.667746
846,1101001110,6,1,0.002324,1.774308,1,0.002324,0.670070
461,0111001101,6,2,0.002319,1.906168,2,0.002319,0.672389
926,1110011110,7,1,0.002282,2.131452,1,0.002282,0.674672
862,1101011110,7,3,0.002268,2.064795,3,0.002268,0.676940
954,1110111010,7,2,0.002253,2.030035,2,0.002253,0.679192
238,0011101110,6,1,0.002217,2.113935,1,0.002217,0.681410
942,1110101110,7,2,0.002200,2.019566,2,0.002200,0.683609
508,0111111100,7,2,0.002177,2.187192,2,0.002177,0.685786
457,0111001001,5,2,0.002167,1.608620,2,0.002167,0.687953
875,1101101011,7,4,0.002165,2.069205,4,0.002165,0.690118
667,1010011011,6,2,0.002161,1.959808,2,0.002161,0.692279
718,1011001110,6,3,0.002137,1.912984,3,0.002137,0.694416
475,0111011011,7,2,0.002123,2.044335,2,0.002123,0.696539
703,1010111111,8,3,0.002097,2.231987,3,0.002097,0.698635
734,1011011110,7,2,0.002070,2.162087,2,0.002070,0.700706
963,1111000011,6,1,0.002064,1.876798,1,0.002064,0.702769
702,1010111110,7,2,0.002058,2.179380,2,0.002058,0.704827
498,0111110010,6,2,0.002055,1.904467,2,0.002055,0.706882
502,0111110110,7,2,0.002034,2.092820,2,0.002034,0.708916
811,1100101011,6,1,0.002031,1.899236,1,0.002031,0.710947
922,1110011010,6,1,0.002029,1.960012,1,0.002029,0.712976
221,0011011101,6,2,0.002004,1.915607,2,0.002004,0.714980
455,0111000111,6,2,0.002002,1.998002,2,0.002002,0.716982
491,0111101011,7,1,0.001994,2.021225,1,0.001994,0.718976
452,0111000100,4,2,0.001979,1.574545,2,0.001979,0.720955
690,1010110010,5,1,0.001975,1.894715,1,0.001975,0.722931
949,1110110101,7,2,0.001960,2.089825,2,0.001960,0.724891
680,1010101000,4,2,0.001953,1.547859,2,0.001953,0.726844
990,1111011110,8,4,0.001940,2.199367,4,0.001940,0.728784
997,1111100101,7,1,0.001937,1.945606,1,0.001937,0.730721
254,0011111110,7,1,0.001911,2.173512,1,0.001911,0.732631
750,1011101110,7,2,0.001871,2.144703,2,0.001871,0.734502
250,0011111010,6,2,0.001867,2.061565,2,0.001867,0.736369
178,0010110010,4,1,0.001862,1.581858,1,0.001862,0.738231
905,1110001001,5,1,0.001839,1.965403,1,0.001839,0.740069
333,0101001101,5,1,0.001815,1.824564,1,0.001815,0.741884
591,1001001111,6,2,0.001803,1.993521,2,0.001803,0.743687
472,0111011000,5,1,0.001795,1.739573,1,0.001795,0.745483
668,1010011100,5,1,0.001784,1.793835,1,0.001784,0.747267
309,0100110101,5,1,0.001783,1.475028,1,0.001783,0.749050
819,1100110011,6,1,0.001781,2.103400,1,0.001781,0.750831
969,1111001001,6,2,0.001780,1.971354,2,0.001780,0.752611
700,1010111100,6,1,0.001780,1.939866,1,0.001780,0.754391
463,0111001111,7,2,0.001766,2.008245,2,0.001766,0.756157
161,0010100001,3,1,0.001764,1.296953,1,0.001764,0.757921
897,1110000001,4,1,0.001734,1.576272,1,0.001734,0.759655
103,0001100111,5,2,0.001722,1.770883,2,0.001722,0.761377
409,0110011001,5,1,0.001714,1.785822,1,0.001714,0.763091
980,1111010100,6,3,0.001711,1.901768,3,0.001711,0.764802
496,0111110000,5,1,0.001702,1.740429,1,0.001702,0.766504
397,0110001101,5,1,0.001702,1.730346,1,0.001702,0.768206
901,1110000101,5,1,0.001699,1.895185,1,0.001699,0.769906
94,0001011110,5,1,0.001696,1.895711,1,0.001696,0.771602
341,0101010101,5,1,0.001695,1.708049,1,0.001695,0.773297
615,1001100111,6,3,0.001695,1.856268,3,0.001695,0.774992
679,1010100111,6,2,0.001691,1.882208,2,0.001691,0.776683
1012,1111110100,7,2,0.001690,2.069991,2,0.001690,0.778372
380,0101111100,6,1,0.001677,1.998866,1,0.001677,0.780049
185,0010111001,5,2,0.001673,1.678613,2,0.001673,0.781722
313,0100111001,5,1,0.001670,1.729792,1,0.001670,0.783392
557,1000101101,5,1,0.001664,1.764238,1,0.001664,0.785056
217,0011011001,5,2,0.001664,1.787320,2,0.001664,0.786720
979,1111010011,7,2,0.001657,2.179415,2,0.001657,0.788377
944,1110110000,5,1,0.001649,1.800511,1,0.001649,0.790026
563,1000110011,5,1,0.001643,1.656039,1,0.001643,0.791669
948,1110110100,6,2,0.001624,2.143877,2,0.001624,0.793293
870,1101100110,6,1,0.001618,1.944154,1,0.001618,0.794911
956,1110111100,7,1,0.001611,2.194732,1,0.001611,0.796521
80,0001010000,2,2,0.001609,1.191109,2,0.001609,0.798130
369,0101110001,5,1,0.001599,1.814037,1,0.001599,0.799729
497,0111110001,6,1,0.001595,1.949892,1,0.001595,0.801324
263,0100000111,4,2,0.001590,1.498907,2,0.001590,0.802914
663,1010010111,6,1,0.001587,1.898518,1,0.001587,0.804500
445,0110111101,7,1,0.001580,2.095909,1,0.001580,0.806080
793,1100011001,5,1,0.001575,1.547689,1,0.001575,0.807655
