instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a
cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,20260324,10,50,FCP-pruned-MB,3.119965681256525,2.2810159470245637,281.947881937027,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_fcp_pruned_mb_compare_n10k50_10inst_strict300/runs/seed_20260324/results/cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm__fcp_pruned_mb.json,0.1285250186920166,0.00015282630920410156,35,0.0341796875,1024,50,35,0.5,1.1709572115716946,1.0408762827147022
cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,20260324,10,50,BSP,2.664457463026178,2.3930468637769136,10.936548948287964,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_fcp_pruned_mb_compare_n10k50_10inst_strict300/runs/seed_20260324/results/cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm__bsp.json,,,,,1024,,,,1.0,0.8889106044426732
cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm,20260324,10,50,CPBSD-A,2.997441418416571,2.810713088846966,300.17419695854187,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_fcp_pruned_mb_compare_n10k50_10inst_strict300/runs/seed_20260324/results/cpbsd_instance_001_N10_K50_normal_rho0.0_full_hvhm__cpbsd_a.json,,,,,1024,,,,1.124972516923653,1.0
