sample,customer_id,bsp_purchased,bsp_size,bsp_price,bsp_value,bsp_cost,bsp_surplus,bsp_profit,bsp_bundle,bsp_items,bsp_bundle_in_fcp_menu,fcp_purchased,fcp_bundle_idx,fcp_size,fcp_price,fcp_value,fcp_cost,fcp_surplus,fcp_profit,fcp_bundle,fcp_items,same_purchase_decision,same_bundle,same_size,bsp_purchase_fcp_no_purchase,profit_gap_bsp_minus_fcp,surplus_gap_bsp_minus_fcp,fcp_size_support
oos,1128,1,10,54.48899733449856,55.839927200083665,51.0,1.3509298655851012,3.4889973344985634,1111111111,"9,8,7,6,4,5,3,1,2,0",1,1,32,9,51.12435294800897,52.65043020928936,47.33333333333333,1.526077261280392,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,-0.1751473956952907,"0,1,2,3,4,5,6,7,8,9,10"
oos,1129,1,10,54.48899733449856,57.35520360322481,51.0,2.866206268726245,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,0,1",1,1,36,10,55.22876648022058,57.35520360322481,51.0,2.12643712300423,4.228766480220578,1111111111,"0,1,2,3,4,5,6,7,8,9",1,1,1,0,-0.7397691457220148,0.7397691457220148,"0,1,2,3,4,5,6,7,8,9,10"
oos,1130,1,6,45.037073206030065,45.656270228915545,42.06666666666666,0.61919702288548,2.9704065393634025,0000111111,"9,8,7,6,5,4",0,0,-1,0,0.0,0.0,0.0,0.0,0.0,0000000000,,0,0,0,1,2.9704065393634025,0.61919702288548,"0,1,2,3,4,5,6,7,8,9,10"
oos,1131,1,10,54.48899733449856,56.43543395170022,51.0,1.9464366172016554,3.4889973344985634,1111111111,"9,7,8,6,5,4,3,2,1,0",1,1,32,9,51.12435294800897,52.40065097615121,47.33333333333333,1.276298028142243,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,0.6701385890594125,"0,1,2,3,4,5,6,7,8,9,10"
oos,1132,1,10,54.48899733449856,56.141611810304866,51.0,1.6526144758063026,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,0,1",1,1,32,9,51.12435294800897,52.32590014352098,47.33333333333333,1.2015471955120134,3.7910196146756405,1110111111,"0,1,2,4,5,6,7,8,9",1,0,0,0,-0.3020222801770771,0.4510672802942892,"0,1,2,3,4,5,6,7,8,9,10"
oos,1133,0,0,0.0,0.0,0.0,0.0,0.0,0000000000,,0,1,25,5,31.304130794150158,31.512647460269207,27.888888888888893,0.20851666611904918,3.415241905261265,1100000111,"0,1,7,8,9",0,0,0,0,-3.415241905261265,-0.20851666611904918,"0,1,2,3,4,5,6,7,8,9,10"
oos,1134,1,10,54.48899733449856,55.176576946692954,51.0,0.6875796121943907,3.4889973344985634,1111111111,"9,8,7,5,6,4,3,2,1,0",1,1,4,6,37.46736405065777,38.44710115900574,34.422222222222224,0.9797371083479689,3.045141828435547,0011110011,"2,3,4,5,8,9",1,0,0,0,0.4438555060630165,-0.2921574961535782,"0,1,2,3,4,5,6,7,8,9,10"
oos,1135,1,10,54.48899733449856,54.56907395652336,51.0,0.08007662202479793,3.4889973344985634,1111111111,"9,8,7,6,5,4,3,2,1,0",1,0,-1,0,0.0,0.0,0.0,0.0,0.0,0000000000,,0,0,0,1,3.4889973344985634,0.08007662202479793,"0,1,2,3,4,5,6,7,8,9,10"
oos,1136,1,10,54.48899733449856,55.789223915833134,51.0,1.3002265813345701,3.4889973344985634,1111111111,"9,7,8,6,5,4,3,2,0,1",1,1,36,10,55.22876648022058,55.789223915833134,51.0,0.5604574356125553,4.228766480220578,1111111111,"0,1,2,3,4,5,6,7,8,9",1,1,1,0,-0.7397691457220148,0.7397691457220148,"0,1,2,3,4,5,6,7,8,9,10"
oos,1137,1,7,48.83689621998285,49.08731384747142,45.733333333333334,0.25041762748857366,3.103562886649513,0001111111,"9,8,7,6,4,3,5",0,1,29,8,46.85260247704875,47.98919701081597,42.71111111111111,1.136594533767223,4.14149136593764,1101101111,"0,1,3,4,6,7,8,9",1,0,0,0,-1.0379284792881265,-0.8861769062786493,"0,1,2,3,4,5,6,7,8,9,10"
