n,instance_index,instance_id,seed,dist_family,rho,heterogeneity,cost_scenario,method,experiment_scope,k_in,k_out,time_limit,mip_gap_target,solver_status,status_text,feasible,solver_runtime,wall_time,mip_gap,objective_raw,revenue_in_sample,revenue_out_sample,ratio_out_in,drop,bundle_space_size,bundle_price_count_full,used_cache,instance_path,result_path,log_path,error_message
5,1,cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_zero,20869306,uniform,-0.5,none,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,49.75639605522156,49.75644493103027,0.009883405444156116,3.7255348581259042,3.7255348581258954,3.442422938811118,0.9240077116183003,0.07599228838169969,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_uniform_rho-0.5_none_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_normal_rho0.5_full_zero,20866306,normal,0.5,full,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,1.5204169750213623,1.5204496383666992,0.008791455614060747,24.544844514494734,24.54484451449528,22.491330284272713,0.9163362298339336,0.08366377016606641,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_normal_rho0.5_full_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_normal_rho0.5_full_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_normal_rho0.5_full_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero,20773306,exponential,0.0,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,9,TIME_LIMIT,True,300.1658329963684,300.16596007347107,0.057975016046225174,8.50641176203013,8.506411762030144,7.791037922571999,0.9159018091915864,0.08409819080841363,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_exponential_rho0.0_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_logit_rho0.0_partial_hvlm,20802306,logit,0.0,partial,hvlm,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,130.88082194328308,130.8809540271759,0.008224271034439323,1.5997806260222713,1.599780625996376,1.4630270212818648,0.9145172766238882,0.08548272337611185,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_partial_hvlm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_partial_hvlm__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho0.0_partial_hvlm__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_normal_rho0.0_partial_zero,20854306,normal,0.0,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,4.012409925460815,4.012444734573364,0.00989167099964691,15.266345593543694,15.272003907909056,13.948787015033801,0.9133566949789746,0.08664330502102535,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_normal_rho0.0_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_normal_rho0.0_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_normal_rho0.0_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_logit_rho-0.5_full_zero,20794306,logit,-0.5,full,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,0.5950930118560791,0.5951409339904785,0.0073377243241032905,26.383774682486752,26.38377468248674,24.057694955378953,0.9118367346939248,0.08816326530607521,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_full_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_full_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_full_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_zero,20827306,lognormal,0.0,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,9,TIME_LIMIT,True,300.2600359916687,300.2602460384369,0.01259171989266032,11.072183845530132,11.072183845530196,10.078533216397801,0.910257033030252,0.08974296696974804,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_lognormal_rho0.0_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_zero,20881306,uniform,0.0,partial,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,4.473675966262817,4.473741054534912,0.007912515657818529,14.704150274712553,14.704150274712761,13.3634395654521,0.9088209325794006,0.09117906742059945,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_uniform_rho0.0_partial_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_logit_rho-0.5_none_zero,20788306,logit,-0.5,none,zero,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,11.511719942092896,11.511750936508179,0.009930951090944537,4.124990575942004,4.1249905759419985,3.734523157698258,0.905341015681091,0.09465898431890896,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_none_zero.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_none_zero__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_none_zero__mb.solver.log,
5,1,cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_hvhm,20792306,logit,-0.5,partial,hvhm,MB,mb_oos_drop_grid_n5_n10_v1,50,5000,300.0,0.01,2,OPTIMAL,True,148.08957600593567,148.0898289680481,0.009828305972854895,1.5601093301253497,1.5601093301250177,1.4078666591447604,0.9024153833064651,0.09758461669353491,32,32,False,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/instances/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_hvhm.msgpack,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_hvhm__mb.json,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/mb_oos_drop_grid_n5_n10_t300/results/n5/cpbsd_instance_001_N5_K50_logit_rho-0.5_partial_hvhm__mb.solver.log,
