n,dist_family,rho,heterogeneity,cost_scenario,instances,status_counts,runtime_mean,drop_mean,drop_median,ratio_mean,ratio_median
5,exponential,-0.5,full,hvhm,1,{'OPTIMAL': 1},77.39281606674194,0.3968760809525492,0.3968760809525492,0.6031239190474508,0.6031239190474508
5,exponential,-0.5,full,hvlm,1,{'OPTIMAL': 1},132.72649693489075,0.47233525431636336,0.47233525431636336,0.5276647456836366,0.5276647456836366
5,exponential,-0.5,full,zero,1,{'TIME_LIMIT': 1},300.2320339679718,0.1892308273501182,0.1892308273501182,0.8107691726498818,0.8107691726498818
5,exponential,-0.5,none,hvhm,1,{'OPTIMAL': 1},87.6998119354248,0.48063127371332715,0.48063127371332715,0.5193687262866729,0.5193687262866729
5,exponential,-0.5,none,hvlm,1,{'OPTIMAL': 1},132.6125409603119,0.2134290784532683,0.2134290784532683,0.7865709215467317,0.7865709215467317
5,exponential,-0.5,none,zero,1,{'TIME_LIMIT': 1},300.15392804145813,0.15257001862274333,0.15257001862274333,0.8474299813772567,0.8474299813772567
5,exponential,-0.5,partial,hvhm,1,{'OPTIMAL': 1},17.603790998458862,0.35295602290928796,0.35295602290928796,0.647043977090712,0.647043977090712
5,exponential,-0.5,partial,hvlm,1,{'OPTIMAL': 1},277.31815099716187,0.3342034970243618,0.3342034970243618,0.6657965029756382,0.6657965029756382
5,exponential,-0.5,partial,zero,1,{'TIME_LIMIT': 1},300.18118381500244,0.15173426400241485,0.15173426400241485,0.8482657359975851,0.8482657359975851
5,exponential,0.0,full,hvhm,1,{'OPTIMAL': 1},91.0208969116211,0.43837625706327854,0.43837625706327854,0.5616237429367215,0.5616237429367215
5,exponential,0.0,full,hvlm,1,{'OPTIMAL': 1},138.5801351070404,0.6085978239210903,0.6085978239210903,0.39140217607890976,0.39140217607890976
5,exponential,0.0,full,zero,1,{'TIME_LIMIT': 1},300.1163761615753,0.298293040095049,0.298293040095049,0.701706959904951,0.701706959904951
5,exponential,0.0,none,hvhm,1,{'OPTIMAL': 1},278.70734691619873,0.29736610424491894,0.29736610424491894,0.7026338957550811,0.7026338957550811
5,exponential,0.0,none,hvlm,1,{'TIME_LIMIT': 1},300.0523929595947,0.43594692216266195,0.43594692216266195,0.564053077837338,0.564053077837338
5,exponential,0.0,none,zero,1,{'TIME_LIMIT': 1},300.3185968399048,0.24212218469135283,0.24212218469135283,0.7578778153086472,0.7578778153086472
