instance_id,seed,n,k_in,k_out,method,experiment_scope,dist_family,rho,heterogeneity,cost_scenario,time_limit,solver_runtime,wall_time,nodes,status_code,status_text,mip_gap,best_bound,sol_count,big_m,objective_raw,revenue_in_sample,revenue_out_sample,ratio_to_mb_in_sample,ratio_to_mb_out_sample,policy_scope,bundle_price_count_full,bundle_price_count_selected,result_path,used_cache,error_message,bundle_space_size,gcn_inference_time,candidate_generation_time,raw_customer_bundle_count,unique_threshold_bundle_count,threshold
n5_inst001,20265331,5,50,5000,CPBSD-MILP,single_setting_mb_ref_matrix_v1,normal,0.0,full,zero,20.0,2.0813119411468506,2.0848140716552734,27.0,2,OPTIMAL,0.0009011748150877536,25.902991329231025,5,10.917760739825848,25.87966922310436,25.517128178931607,23.19830462300253,0.9859912798317605,1.0827450068996938,,,,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_single_setting_mb_ref_zero_smoke_subproc/results/n5/n5_inst001__cpbsd_milp.json,False,,,,,,,
n5_inst001,20265331,5,50,5000,CPBSD-A,single_setting_mb_ref_matrix_v1,normal,0.0,full,zero,20.0,0.3800640106201172,0.38030219078063965,350.0,2,OPTIMAL,0.0,25.79879157380914,3,54.588803699129244,25.79879157380914,25.599847288437807,23.101157503466222,0.9891875768475,1.0782108152713827,,,,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_single_setting_mb_ref_zero_smoke_subproc/results/n5/n5_inst001__cpbsd_a.json,False,,,,,,,
n5_inst001,20265331,5,50,5000,MB,single_setting_mb_ref_matrix_v1,normal,0.0,full,zero,20.0,1.0709078311920166,1.0709209442138672,,2,OPTIMAL,0.0,,1,,25.879669223115673,25.879669223124964,21.425455185822564,1.0,1.0,full_bundle_prices,32,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_single_setting_mb_ref_zero_smoke_subproc/results/n5/n5_inst001__mb.json,False,,32,,,,,
n5_inst001,20265331,5,50,5000,FCP-pruned-MB,single_setting_mb_ref_matrix_v1,normal,0.0,full,zero,20.0,0.16974902153015137,0.16976714134216309,,2,OPTIMAL,0.0,,1,,25.879669223105935,25.87966922310522,23.20939720091425,0.9999999999992372,1.083262735826128,full_bundle_prices,8,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/cpbsd_single_setting_mb_ref_zero_smoke_subproc/results/n5/n5_inst001__fcp_pruned_mb.json,False,,8,0.177994966506958,7.414817810058594e-05,50,7,0.5
