n,method,method_label,instances,status_counts,runtime_mean,runtime_median,runtime_min,runtime_max,revenue_in_sample_mean,revenue_out_sample_mean,ratio_to_mb_in_sample_mean,ratio_to_mb_out_sample_mean
5,CPBSD-A,CPBSD-A,1,{'OPTIMAL': 1},0.3800640106201172,0.3800640106201172,0.3800640106201172,0.3800640106201172,25.599847288437807,23.101157503466222,0.9891875768475,1.0782108152713827
5,CPBSD-MILP,CPBSD,1,{'OPTIMAL': 1},2.0813119411468506,2.0813119411468506,2.0813119411468506,2.0813119411468506,25.517128178931607,23.19830462300253,0.9859912798317605,1.0827450068996938
5,FCP-pruned-MB,FCP-MB,1,{'OPTIMAL': 1},0.16974902153015137,0.16974902153015137,0.16974902153015137,0.16974902153015137,25.87966922310522,23.20939720091425,0.9999999999992372,1.083262735826128
5,MB,MB,1,{'OPTIMAL': 1},1.0709078311920166,1.0709078311920166,1.0709078311920166,1.0709078311920166,25.879669223124964,21.425455185822564,1.0,1.0
