instance_id,seed,n,k,method,revenue_in_sample,revenue_out_sample,solver_runtime,status_code,result_path,gcn_inference_time,candidate_generation_time,bundle_space_size,bundle_space_fraction,full_bundle_space_size,raw_customer_bundle_count,unique_threshold_bundle_count,threshold,ratio_to_bsp,ratio_to_cpbsd_a
cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm,20260413,30,50,FCP-pruned-MB,10.45123730219893,5.590182583075911,32.69031596183777,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.5_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm__fcp_pruned_mb.json,0.10133099555969238,0.00011706352233886719,51,4.7497451305389404e-08,1073741824,50,50,0.5,1.2419815541311152,1.1243382661021182
cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm,20260413,30,50,BSP,8.41496982578825,6.97406112524468,600.6805667877197,2,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.5_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm__bsp.json,,,,,1073741824,,,,1.0,0.9052777493854973
cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm,20260413,30,50,CPBSD-A,9.295456374024804,8.560509880327347,600.888435125351,9,/Users/sensen/.openclaw/workspace/domains/revenue-management/experiments/fcp_mb_phase2_selected_n10_n30_5inst/n30/normal_rho0.5_full_hvhm/runs/seed_20260413/results/cpbsd_instance_001_N30_K50_normal_rho0.5_full_hvhm__cpbsd_a.json,,,,,1073741824,,,,1.1046333577499283,1.0
